start-date,type,number,vote-date,vote-time,motion-ch,motion-en,mover-ch,mover-en,mover-type,debating-issue,Website,vote-separate-mechanism,present-count,vote-count,yes-count,no-count,abstain-count,result,name-ch,name-en,display-name,constituency,region,camp,vote,entropy
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,梁美芬,Dr Priscilla LEUNG,Leung Mei Fun,Geographical,Kowloon West,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,黃國健,WONG Kwok-kin,Wong Kwok Kin,Geographical,Kowloon East,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,葉劉淑儀,Mrs Regina IP,Ip Lau Suk Yee Regina,Geographical,Hong Kong Island,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,謝偉俊,Paul TSE,Tse Wai Chun Paul,Geographical,Kowloon East,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,毛孟靜,Claudia MO,Mo Man Ching Claudia,Geographical,Kowloon West,Pro-democracy,No,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,田北辰,Michael TIEN,Tien Michael Puk Sun,Geographical,New Territories West,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,胡志偉,WU Chi-wai,Wu Chi Wai,Geographical,Kowloon East,Pro-democracy,No,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,陳志全,CHAN Chi-chuen,Chan Chi Chuen Raymond,Geographical,New Territories East,Pro-democracy,No,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,梁志祥,LEUNG Che-cheung,Leung Che Cheung,Geographical,New Territories West,Pro-establishment,Yes,0.966985296
16/11/2016,Council Meeting,10,16/11/2016,19:36:22,張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案,MOTION MOVED BY HON CHEUNG KWOK-KWAN ON “REQUIRING THE TEACHING OF CHINESE HISTORY AS AN INDEPENDENT SUBJECT AT JUNIOR SECONDARY LEVEL” AS AMENDED BY HON MRS REGINA IP,張國鈞,CHEUNG Kwok-kwan,Member,"""Requiring the teaching of Chinese history as an independent subject at junior secondary level""",https://www.legco.gov.hk/yr16-17/english/counmtg/motion/cm20161116m-ckk.htm,Yes,63,62,37,24,1,Passed,郭偉强,KWOK Wai-keung,Kwok Wai Keung,Geographical,Hong Kong Island,Pro-establishment,Yes,0.966985296
